time,lat,lon
0 days 00:44:49,58.155331,39.024857
0 days 00:44:53,58.154419,39.023914
0 days 00:44:57,58.153614,39.022877
0 days 00:45:01,58.152847,39.021595
0 days 00:45:05,58.152187,39.02021
0 days 00:45:09,58.151596,39.018673
0 days 00:45:13,58.151066,39.016994
0 days 00:45:17,58.150669,39.015247
0 days 00:45:21,58.150349,39.013409
0 days 00:45:25,58.150211,39.011578
0 days 00:45:29,58.150154,39.009678
0 days 00:45:33,58.150196,39.007786
0 days 00:45:37,58.150326,39.005878
0 days 00:45:41,58.15062,39.004086
0 days 00:45:45,58.150978,39.0023
0 days 00:45:49,58.151482,39.000652
0 days 00:45:53,58.151943,38.999004
0 days 00:45:57,58.15263,38.997593
0 days 00:46:01,58.153385,38.996311
0 days 00:46:05,58.154209,38.995197
0 days 00:46:09,58.155087,38.994244
0 days 00:46:13,58.156013,38.993492
0 days 00:46:17,58.156982,38.992947
0 days 00:46:21,58.157974,38.992596
0 days 00:46:25,58.158993,38.992447
0 days 00:46:29,58.160011,38.992516
0 days 00:46:33,58.161003,38.992794
0 days 00:46:37,58.161953,38.993286
0 days 00:46:41,58.162884,38.993973
0 days 00:46:45,58.163784,38.994862
0 days 00:46:49,58.164631,38.995926
0 days 00:46:53,58.165421,38.997124
0 days 00:46:57,58.166073,38.998367
0 days 00:47:01,58.16679,38.999905
0 days 00:47:05,58.167393,39.001511
0 days 00:47:09,58.167862,39.003174
0 days 00:47:13,58.168213,39.004906
